memberAddress,DelegateKey,proposalId,proposalIndex,address,blockNumber,vote
0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7556019,1,
0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7556416,2,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,28,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7557695,2,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,28,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7558018,2,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,29,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7561671,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,28,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7570879,2,
0xABbd0c374F54EdC4392C9Ff45DB9B65E91Bc2678,0x005bEE87D3489b0ab57692dCC1e5BF58D3A494E6,undefined,28,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7570903,2,
0x37385081870ef47e055410FEFd582E2a95D2960B,0x6Ddf1B8e6d71B5b33912607098BE123ffe62AE53,undefined,28,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7574037,2,
0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,undefined,28,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7574535,2,
0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,undefined,29,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7574537,1,
0xcd16CBdA54af2556EBB6df4FBFd178e63c33FD89,0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2,undefined,29,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7586504,1,
0x1A57F99c4759F4E4E29140B1D7A89584e1c1Ef67,0x1b037167C4b0584Ca5Ef6534648C38F496757FA5,undefined,31,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7659107,1,
0x1A57F99c4759F4E4E29140B1D7A89584e1c1Ef67,0x1b037167C4b0584Ca5Ef6534648C38F496757FA5,undefined,30,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7659112,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,30,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7664469,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,31,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7664471,1,
0x44CAd9AF73c8175009f06fbde856EFBa453a40e0,0x44CAd9AF73c8175009f06fbde856EFBa453a40e0,undefined,31,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7664621,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,30,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7679003,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,31,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7679003,1,
0x512E07A093aAA20Ba288392EaDF03838C7a4e522,0x512E07A093aAA20Ba288392EaDF03838C7a4e522,undefined,32,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7684516,1,
0x1A57F99c4759F4E4E29140B1D7A89584e1c1Ef67,0x1b037167C4b0584Ca5Ef6534648C38F496757FA5,undefined,33,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7685943,1,
0xAe5fB390e5c4fA1962e39E98DBfb0ed8055Ed7A9,0xAe5fB390e5c4fA1962e39E98DBfb0ed8055Ed7A9,undefined,34,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7709342,1,
0xAe5fB390e5c4fA1962e39E98DBfb0ed8055Ed7A9,0xAe5fB390e5c4fA1962e39E98DBfb0ed8055Ed7A9,undefined,33,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7709356,1,
0xABbd0c374F54EdC4392C9Ff45DB9B65E91Bc2678,0x005bEE87D3489b0ab57692dCC1e5BF58D3A494E6,undefined,34,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7709553,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,32,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7709762,1,
0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,undefined,32,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7715707,1,
0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,undefined,33,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7715709,1,
0xF754eEE52ae08568201c56f51BA985638edaE1c4,0xFb43463c8eF17784921204487A397Ef003a625CF,undefined,34,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7715738,2,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,34,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7721283,1,
0x1A57F99c4759F4E4E29140B1D7A89584e1c1Ef67,0x1b037167C4b0584Ca5Ef6534648C38F496757FA5,undefined,34,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7722766,1,
0x37385081870ef47e055410FEFd582E2a95D2960B,0x6Ddf1B8e6d71B5b33912607098BE123ffe62AE53,undefined,34,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7727076,2,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,35,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7727980,1,
0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,undefined,36,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7734552,1,
0xF754eEE52ae08568201c56f51BA985638edaE1c4,0xFb43463c8eF17784921204487A397Ef003a625CF,undefined,37,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7736024,1,
0xCC04c8EFF1C7049f948C12DD5286a56114228657,0xCC04c8EFF1C7049f948C12DD5286a56114228657,undefined,36,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7740417,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,36,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743729,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,37,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743731,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,38,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743731,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,39,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743733,1,
