id,address,shares,isContract
0xbd4eb0295468c80725017f74113f5aebbd6e8d12,0xbd4eb0295468c80725017f74113f5aebbd6e8d12,100000,false,
0xbe255852c4301d6392fb1d65003b7a0e0ef6e6b0,0xbe255852c4301d6392fb1d65003b7a0e0ef6e6b0,200000,false,
0xbf7db386ba18184b91d2b98e13f25ddebc096f1c,0xbf7db386ba18184b91d2b98e13f25ddebc096f1c,100000,false,
0xbf84a11fcdccb9c6ade93e9e65f30c8231e3e3f8,0xbf84a11fcdccb9c6ade93e9e65f30c8231e3e3f8,100000,false,
0xc3856d975e400f7f82391fdf652885edcdb6d116,0xc3856d975e400f7f82391fdf652885edcdb6d116,200000,false,
0xc4b000efc4c5622aa43065190bbf4b3ae133fd3f,0xc4b000efc4c5622aa43065190bbf4b3ae133fd3f,400000,false,
0xd24ff5e32de12be154b1c2ee7b731cbc45540e50,0xd24ff5e32de12be154b1c2ee7b731cbc45540e50,600000,false,
0xd310a932cb1db29cdeff5a7b6fc34ac7b4f0ed8c,0xd310a932cb1db29cdeff5a7b6fc34ac7b4f0ed8c,100000,false,
0xd6d4bcde6c816f17889f1dd3000af0261b03a196,0xd6d4bcde6c816f17889f1dd3000af0261b03a196,0,true,
0xd6f28bd94d1edefdf8fde8f6f10094fef7e590c0,0xd6f28bd94d1edefdf8fde8f6f10094fef7e590c0,200000,false,
0xd890b3d16e868aa709dee581c7db0dce651e6f4d,0xd890b3d16e868aa709dee581c7db0dce651e6f4d,100000,false,
0xd9974e061286b892eb099d8677cb824a6aa3f6b8,0xd9974e061286b892eb099d8677cb824a6aa3f6b8,100000,false,
0xdca17eedc1aa3dbb14361678566b2da5a1bb4c31,0xdca17eedc1aa3dbb14361678566b2da5a1bb4c31,0,true,
0xde6ab16a4015c680daab58021815d09ddb57db8e,0xde6ab16a4015c680daab58021815d09ddb57db8e,100001,false,
0xe015c0d33389e5f0382cceec817cc3032ede113d,0xe015c0d33389e5f0382cceec817cc3032ede113d,0,false,
0xe1a3435b683d863bcb6c8aa093de08ed0557ee99,0xe1a3435b683d863bcb6c8aa093de08ed0557ee99,100000,false,
0xe4e69ef860d3018b61a25134d60678be8628f780,0xe4e69ef860d3018b61a25134d60678be8628f780,0,false,
0xe7e2fd261abb2cd69a0796db63e76b14b368a033,0xe7e2fd261abb2cd69a0796db63e76b14b368a033,0,false,
