QmWEXJ7r32FgEy9J12sFyv6YFhMCn1zzwmVpzK7mzuhwtJ,0xa9B90D41890A8E05Ba826880B188b501F3ae7Aea,closed,31257.37387822157,888.589607988356,32145.963486209926,1615380589
QmcJiUjM4fZT4txw4F2tjteqcrAdEw1bRfQKVRH45ZBuLy,0x86C5649E1a5ad603A09260933a456c5B35c4E68D,closed,54189.97083842536,341.9826170633042,155650.18407601732,1615378769
QmYBCGv3dW6svrgHyCZTtsFy3fpG8LqET2PCzDDVLjWYq4,0x3AE4Eb569e045fd918e5a6CAB0a8bcBFF6B1cAda,closed,16229945.92869308,746809.2987608312,16976757.519026745,1615376877
QmcYeM9DNbehjm8JVQXoPKSx4M9knmaVAAPacJ5txy1RFf,0xa9B90D41890A8E05Ba826880B188b501F3ae7Aea,closed,31649.434242692023,4163.829205355336,35813.263448047364,1615370428
QmXjgif8mZNqkcJcM3gXAiNiTGZEVr5TJTZLKyZDm9kC9q,0x128201B26deF69e2672a5d9cB0cbAa7557523661,closed,125390.20103239392,92047.4590091422,217437.66004153577,1615330203
QmctDcHexBteqShgNjkWPj9EkKJYhPrH8ABnqeaPkHPe2y,0x8d43370012a87871675C8962a711B6987c2Ea2D5,closed,43448.434034589234,8773.89862961144,52222.33266420066,1615106872
QmWkbufyEs87jDSDP95pQTmgBej7Vm1G7UyE95i8Y2cVgh,0x8D2DD1Bcc45A67F99E79cf0D4C81A7c0E6399803,closed,61114.39921847099,249.23463572159463,61363.63385419259,1615013759
QmW5iv3ADDzhbdoi7pxFaNg6cqFBKxLe8DVcG7vVDhnsQD,0x6F6417FF89386a5B59E112b051Bfa7c48d1eaA97,closed,4839.905897737741,0,4839.905897737741,1613805400
QmTrcCybeUbhhYX65iNLMDwf1Mefgoikza38SdsPMV4Bv2,0xF9E89c3b514fC0c9048A2ba2475739A52e697e0F,closed,3.491745471567371,14328.51789205283,14332.009637524397,1613336455
QmbR6KM71PTNSt2zmgPSB23sCZrLy5sKRe8SzWCTxXhnAP,0x9ee1B8Fd52321De805772EFea2F6AeFeEeDc735d,closed,608.8167358539717,0,608.8167358539717,1613284021
QmXSBJuJ23d7J11aorkGYG2x4aY4dQb4kMD4Lwbs25EN8S,0xB2A5c803247e275a2B9a4BD0d2f28e8183C607dD,closed,577.4019024458343,0,577.4019024458343,1612074247
